algorithm;dataset;k;qids;weighted;iterations;eliteFraction;crossoverFraction;mutationProbability;trianglePattern;dualPopulation;timeLimit;stepLimit;limitByOptimalLoss;batchNumber;time;externalUtility;internalUtility
BEST_EFFORT_GENETIC_1POP_100;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;5000;2147483647;false;1;181613;0.719869478;0
BEST_EFFORT_GENETIC_1POP_100;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;10000;2147483647;false;1;422017;0.775336742;0
BEST_EFFORT_GENETIC_1POP_100;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;20000;2147483647;false;1;801767;0.837703144;0
BEST_EFFORT_GENETIC_1POP_100;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;30000;2147483647;false;1;1201688;0.868375625;0
BEST_EFFORT_GENETIC_1POP_100;MACH2019;5;0;false;2147483647;0.2;0.4;0.05;false;false;5000;2147483647;false;1;75426;0.88354815;0
BEST_EFFORT_GENETIC_1POP_100;MACH2019;5;0;false;2147483647;0.2;0.4;0.05;false;false;10000;2147483647;false;1;140437;0.920854366;0
BEST_EFFORT_GENETIC_1POP_100;MACH2019;5;0;false;2147483647;0.2;0.4;0.05;false;false;20000;2147483647;false;1;420742;0.960500271;0
BEST_EFFORT_GENETIC_1POP_100;MACH2019;5;0;false;2147483647;0.2;0.4;0.05;false;false;30000;2147483647;false;1;751068;0.967660932;0
BEST_EFFORT_GENETIC_1POP_100;SS13ACS;5;0;false;2147483647;0.2;0.4;0.05;false;false;5000;2147483647;false;1;25190;0.86619591;0
BEST_EFFORT_GENETIC_1POP_100;SS13ACS;5;0;false;2147483647;0.2;0.4;0.05;false;false;10000;2147483647;false;1;70205;0.898841646;0
BEST_EFFORT_GENETIC_1POP_100;SS13ACS;5;0;false;2147483647;0.2;0.4;0.05;false;false;20000;2147483647;false;1;120231;0.985995421;0
BEST_EFFORT_GENETIC_1POP_100;SS13ACS;5;0;false;2147483647;0.2;0.4;0.05;false;false;30000;2147483647;false;1;120225;0.992402155;0
BEST_EFFORT_GENETIC_1POP_100;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;5000;2147483647;false;2;146490;0.715222821;0
BEST_EFFORT_GENETIC_1POP_100;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;10000;2147483647;false;2;411929;0.752042563;0
BEST_EFFORT_GENETIC_1POP_100;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;20000;2147483647;false;2;841821;0.821275944;0
BEST_EFFORT_GENETIC_1POP_100;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;30000;2147483647;false;2;1021412;0.898308093;0
BEST_EFFORT_GENETIC_1POP_100;MACH2019;5;0;false;2147483647;0.2;0.4;0.05;false;false;5000;2147483647;false;2;50360;0.873590459;0
BEST_EFFORT_GENETIC_1POP_100;MACH2019;5;0;false;2147483647;0.2;0.4;0.05;false;false;10000;2147483647;false;2;180668;0.926762836;0
BEST_EFFORT_GENETIC_1POP_100;MACH2019;5;0;false;2147483647;0.2;0.4;0.05;false;false;20000;2147483647;false;2;481115;0.957164183;0
BEST_EFFORT_GENETIC_1POP_100;MACH2019;5;0;false;2147483647;0.2;0.4;0.05;false;false;30000;2147483647;false;2;570803;0.966247077;0
BEST_EFFORT_GENETIC_1POP_100;SS13ACS;5;0;false;2147483647;0.2;0.4;0.05;false;false;5000;2147483647;false;2;20134;0.76892585;0
BEST_EFFORT_GENETIC_1POP_100;SS13ACS;5;0;false;2147483647;0.2;0.4;0.05;false;false;10000;2147483647;false;2;30165;0.906170039;0
BEST_EFFORT_GENETIC_1POP_100;SS13ACS;5;0;false;2147483647;0.2;0.4;0.05;false;false;20000;2147483647;false;2;120297;0.98138285;0
BEST_EFFORT_GENETIC_1POP_100;SS13ACS;5;0;false;2147483647;0.2;0.4;0.05;false;false;30000;2147483647;false;2;240282;0.986664575;0
BEST_EFFORT_GENETIC_1POP_100;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;5000;2147483647;false;3;161358;0.719094403;0
BEST_EFFORT_GENETIC_1POP_100;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;10000;2147483647;false;3;411931;0.766787643;0
BEST_EFFORT_GENETIC_1POP_100;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;20000;2147483647;false;3;902162;0.775033276;0
BEST_EFFORT_GENETIC_1POP_100;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;30000;2147483647;false;3;1381950;0.845819902;0
BEST_EFFORT_GENETIC_1POP_100;MACH2019;5;0;false;2147483647;0.2;0.4;0.05;false;false;5000;2147483647;false;3;60410;0.900032014;0
BEST_EFFORT_GENETIC_1POP_100;MACH2019;5;0;false;2147483647;0.2;0.4;0.05;false;false;10000;2147483647;false;3;220822;0.935894745;0
BEST_EFFORT_GENETIC_1POP_100;MACH2019;5;0;false;2147483647;0.2;0.4;0.05;false;false;20000;2147483647;false;3;521105;0.965451461;0
BEST_EFFORT_GENETIC_1POP_100;MACH2019;5;0;false;2147483647;0.2;0.4;0.05;false;false;30000;2147483647;false;3;720923;0.965069379;0
BEST_EFFORT_GENETIC_1POP_100;SS13ACS;5;0;false;2147483647;0.2;0.4;0.05;false;false;5000;2147483647;false;3;25252;0.863436307;0
BEST_EFFORT_GENETIC_1POP_100;SS13ACS;5;0;false;2147483647;0.2;0.4;0.05;false;false;10000;2147483647;false;3;20179;0.922355986;0
BEST_EFFORT_GENETIC_1POP_100;SS13ACS;5;0;false;2147483647;0.2;0.4;0.05;false;false;20000;2147483647;false;3;100205;0.991497955;0
BEST_EFFORT_GENETIC_1POP_100;SS13ACS;5;0;false;2147483647;0.2;0.4;0.05;false;false;30000;2147483647;false;3;150204;0.995673189;0
BEST_EFFORT_GENETIC_1POP_100;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;5000;2147483647;false;4;171477;0.730352409;0
BEST_EFFORT_GENETIC_1POP_100;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;10000;2147483647;false;4;371602;0.747106419;0
BEST_EFFORT_GENETIC_1POP_100;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;20000;2147483647;false;4;781792;0.833766775;0
BEST_EFFORT_GENETIC_1POP_100;CREDITCARD;5;0;false;2147483647;0.2;0.4;0.05;false;false;30000;2147483647;false;4;1141497;0.872500003;0
BEST_EFFORT_GENETIC_1POP_100;MACH2019;5;0;false;2147483647;0.2;0.4;0.05;false;false;5000;2147483647;false;4;70475;0.903725366;0
BEST_EFFORT_GENETIC_1POP_100;MACH2019;5;0;false;2147483647;0.2;0.4;0.05;false;false;10000;2147483647;false;4;170513;0.946524228;0
BEST_EFFORT_GENETIC_1POP_100;MACH2019;5;0;false;2147483647;0.2;0.4;0.05;false;false;20000;2147483647;false;4;500958;0.95232933;0
BEST_EFFORT_GENETIC_1POP_100;MACH2019;5;0;false;2147483647;0.2;0.4;0.05;false;false;30000;2147483647;false;4;720835;0.962614117;0
BEST_EFFORT_GENETIC_1POP_100;SS13ACS;5;0;false;2147483647;0.2;0.4;0.05;false;false;5000;2147483647;false;4;40222;0.841584483;0
BEST_EFFORT_GENETIC_1POP_100;SS13ACS;5;0;false;2147483647;0.2;0.4;0.05;false;false;10000;2147483647;false;4;70167;0.9090832;0
