algorithm;dataset;k;qids;weighted;iterations;eliteFraction;crossoverFraction;mutationProbability;trianglePattern;dualPopulation;timeLimit;stepLimit;limitByOptimalLoss;batchNumber;time;externalUtility;internalUtility
BEST_EFFORT_GENETIC_1POP;ADULT;5;0;false;2147483647;0.2;0.4;0.05;false;false;300000;2147483647;true;1;860;0.977974825;0
BEST_EFFORT_GENETIC_1POP;ADULT;5;0;false;2147483647;0.2;0.4;0.05;false;false;300000;2147483647;true;2;923;0.977974825;0
BEST_EFFORT_GENETIC_1POP;ADULT;5;0;false;2147483647;0.2;0.4;0.05;false;false;300000;2147483647;true;3;831;0.977974825;0
BEST_EFFORT_GENETIC_1POP;ADULT;5;0;false;2147483647;0.2;0.4;0.05;false;false;300000;2147483647;true;4;765;0.977974825;0
BEST_EFFORT_GENETIC_1POP;ADULT;5;0;false;2147483647;0.2;0.4;0.05;false;false;300000;2147483647;true;5;1044;0.977974825;0
BEST_EFFORT_GENETIC_1POP;ATUS;5;0;false;2147483647;0.2;0.4;0.05;false;false;300000;2147483647;true;1;7541;0.996640182;0
BEST_EFFORT_GENETIC_1POP;ATUS;5;0;false;2147483647;0.2;0.4;0.05;false;false;300000;2147483647;true;2;5179;0.996640182;0
BEST_EFFORT_GENETIC_1POP;ATUS;5;0;false;2147483647;0.2;0.4;0.05;false;false;300000;2147483647;true;3;8360;0.996640182;0
BEST_EFFORT_GENETIC_1POP;ATUS;5;0;false;2147483647;0.2;0.4;0.05;false;false;300000;2147483647;true;4;5158;0.996640182;0
BEST_EFFORT_GENETIC_1POP;ATUS;5;0;false;2147483647;0.2;0.4;0.05;false;false;300000;2147483647;true;5;7793;0.996640182;0
BEST_EFFORT_GENETIC_1POP;IHIS;5;0;false;2147483647;0.2;0.4;0.05;false;false;300000;2147483647;true;1;17773;0.985119615;0
BEST_EFFORT_GENETIC_1POP;IHIS;5;0;false;2147483647;0.2;0.4;0.05;false;false;300000;2147483647;true;2;16823;0.985119615;0
BEST_EFFORT_GENETIC_1POP;IHIS;5;0;false;2147483647;0.2;0.4;0.05;false;false;300000;2147483647;true;3;39817;0.985119615;0
BEST_EFFORT_GENETIC_1POP;IHIS;5;0;false;2147483647;0.2;0.4;0.05;false;false;300000;2147483647;true;4;19969;0.985119615;0
BEST_EFFORT_GENETIC_1POP;IHIS;5;0;false;2147483647;0.2;0.4;0.05;false;false;300000;2147483647;true;5;14936;0.985119615;0
BEST_EFFORT_GENETIC_WO_TRIANGLE;ADULT;5;0;false;2147483647;0.2;0.4;0.05;false;true;300000;2147483647;true;1;1269;0.977974825;0
